"date","total_key"
"2020-06-01",9032
"2020-05-31",11847
"2020-05-30",12141
"2020-05-29",9812
"2020-05-28",9830
"2020-05-27",10151
"2020-05-26",10181
"2020-05-25",10672
"2020-05-24",12860
"2020-05-23",13147
"2020-05-22",9503
"2020-05-21",9323
"2020-05-20",9794
"2020-05-19",9900
"2020-05-18",10444
"2020-05-17",12632
"2020-05-16",12900
"2020-05-15",10073
"2020-05-14",10133
"2020-05-13",10052
"2020-05-12",9487
"2020-05-11",9789
"2020-05-10",10703
"2020-05-09",10313
"2020-05-08",9588
"2020-05-07",9349
"2020-05-06",9755
"2020-05-05",9893
"2020-05-04",10304
"2020-05-03",11338
"2020-05-02",10147
"2020-05-01",9706
"2020-04-30",10255
"2020-04-29",10334
"2020-04-28",10395
"2020-04-27",10706
"2020-04-26",12024
"2020-04-25",11832
"2020-04-24",11320
"2020-04-23",11113
"2020-04-22",11230
"2020-04-21",11398
"2020-04-20",11457
"2020-04-19",12503
"2020-04-18",12201
"2020-04-17",11685
"2020-04-16",11661
"2020-04-15",11766
"2020-04-14",11762
"2020-04-13",12136
"2020-04-12",13044
"2020-04-11",12738
"2020-04-10",12092
"2020-04-09",12266
"2020-04-08",12440
"2020-04-07",12607
"2020-04-06",12637
"2020-04-05",14109
"2020-04-04",13932
"2020-04-03",13399
"2020-04-02",890
"2020-04-01",746
"2020-03-31",695
"2020-03-30",681
"2020-03-29",763
"2020-03-28",671
"2020-03-27",646
"2020-03-26",631
"2020-03-25",657
"2020-03-24",623
"2020-03-23",606
"2020-03-22",699
"2020-03-21",694
"2020-03-20",665
"2020-03-19",708
"2020-03-18",695
"2020-03-17",694
"2020-03-16",678
"2020-03-15",668
"2020-03-14",671
"2020-03-13",609
"2020-03-12",585
"2020-03-11",601
"2020-03-10",636
"2020-03-09",590
"2020-03-08",603
"2020-03-07",602
"2020-03-06",553
"2020-03-05",624
"2020-03-04",685
"2020-03-03",641
"2020-03-02",623
"2020-03-01",642
"2020-02-29",705
"2020-02-28",647
"2020-02-27",709
"2020-02-26",628
"2020-02-25",626
"2020-02-24",649
"2020-02-23",693
"2020-02-22",658
"2020-02-21",631
"2020-02-20",672
"2020-02-19",630
"2020-02-18",631
"2020-02-17",668
"2020-02-16",651
"2020-02-15",645
"2020-02-14",532
"2020-02-13",629
"2020-02-12",621
"2020-02-11",595
"2020-02-10",601
"2020-02-09",651
"2020-02-08",677
"2020-02-07",675
"2020-02-06",602
"2020-02-05",630
"2020-02-04",575
"2020-02-03",594
"2020-02-02",584
"2020-02-01",604
"2020-01-31",492
"2020-01-30",475
"2020-01-29",469
"2020-01-28",546
"2020-01-27",500
"2020-01-26",461
"2020-01-25",523
"2020-01-24",436
"2020-01-23",467
"2020-01-22",494
"2020-01-21",443
"2020-01-20",484
"2020-01-19",485
"2020-01-18",444
"2020-01-17",395
"2020-01-16",316
"2020-01-15",368
"2020-01-14",281
"2020-01-13",233
"2020-01-12",275
"2020-01-11",232
"2020-01-10",202
"2020-01-09",120
"2020-01-08",46
"2020-01-07",38
"2020-01-06",50
"2020-01-05",70
"2020-01-04",69
"2020-01-03",44
"2020-01-02",48
"2020-01-01",69
"2019-12-31",42
"2019-12-30",54
"2019-12-29",53
"2019-12-28",52
"2019-12-27",50
"2019-12-26",47
"2019-12-25",47
"2019-12-24",40
"2019-12-23",46
"2019-12-22",53
"2019-12-21",54
"2019-12-20",64
"2019-12-19",56
"2019-12-18",47
"2019-12-17",55
"2019-12-16",61
"2019-12-15",67
"2019-12-14",73
"2019-12-13",60
"2019-12-12",51
"2019-12-11",43
"2019-12-10",40
"2019-12-09",46
"2019-12-08",62
"2019-12-07",59
"2019-12-06",52
"2019-12-05",44
"2019-12-04",46
"2019-12-03",52
"2019-12-02",64
"2019-12-01",56
"2019-11-30",69
"2019-11-29",62
"2019-11-28",64
"2019-11-27",48
"2019-11-26",48
"2019-11-25",66
"2019-11-24",69
"2019-11-23",81
"2019-11-22",71
"2019-11-21",58
"2019-11-20",56
"2019-11-19",56
"2019-11-18",65
"2019-11-17",70
"2019-11-16",75
"2019-11-15",70
"2019-11-14",51
"2019-11-13",59
"2019-11-12",65
"2019-11-11",61
"2019-11-10",75
"2019-11-09",56
"2019-11-08",54
"2019-11-07",63
"2019-11-06",71
"2019-11-05",63
"2019-11-04",65
"2019-11-03",72
"2019-11-02",87
"2019-11-01",78
"2019-10-31",66
"2019-10-30",61
"2019-10-29",65
"2019-10-28",53
"2019-10-27",81
"2019-10-26",79
"2019-10-25",70
"2019-10-24",81
"2019-10-23",77
"2019-10-22",75
"2019-10-21",88
"2019-10-20",162
"2019-10-19",182
"2019-10-18",132
"2019-10-17",123
"2019-10-16",133
"2019-10-15",138
"2019-10-14",155
